artist,title,genre,url,region,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Olivier Bélisle,Broderie,folk,https://olivierbelisle.bandcamp.com/album/broderie,montreal,12.2,17,2020-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029b0e8c9001db79ea1c599930,0qF05npfcAreX5hsnmrlLU,5r7VNBLnEVQaEvhaJLkMpR
Feathers & Anvils,Sunshine,rock,https://feathersanvils.bandcamp.com/album/sunshine,novascotia,12.0,0,2020-03-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02717d008fe719102cfceb3f3e,5d87nGcZo6u16uw9j6xF03,4ol7lWLx8gTKVayxMMIg3y
Organ Eyes,Paintings in Concrete,rock,https://organeyes.bandcamp.com/album/paintings-in-concrete,ottawa,11.867,2,2020-03-26T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027c064851950efd40cf7a45e8,5BqfpnKdrhzPFUOVLuNVGg,4JxAJWLw0DIhHdWRrBXmU3
Lake Humour,Blackout in the DAWn,pop,https://lakehumour.bandcamp.com/album/blackout-in-the-dawn,novascotia,11.333,0,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021747acf7e23cdbb9052a5aa0,6iB7WcMalApp5H5atm0shN,3ajqM091qASF4X3VNfzmyE
narcoskeptic,CHEEKY,experimental,https://roachlungrecordings.bandcamp.com/album/cheeky,novascotia,11.333,0,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028ccdea8dab6d0dfe3ac55b28,6ujps71DdKQnA24TXNsDnW,71jJ5mwFxla63Z8CvaISUN
Brandon M.C.,Three Cheers For Modern Fears,acoustic,https://brandonmc.bandcamp.com/album/three-cheers-for-modern-fears,newbrunswick,11.333,0,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020690257487b5499d2798693f,7gqPWPcQsXjIRlpfBLAonE,77Q7IC7rg0RAxhbZv0kLw4
Randy Woods Band,Soul Hammer,pop,https://randywoodsband.bandcamp.com/album/soul-hammer,saskatchewan,11.333,0,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02883fa1a06d42711a77ead45a,2eCvivzoc7EFCmE1h1ZFSr,0RDFoyY7zxn0gbzmIBudV8
shark bite spite,homemade helicopter,alternative,https://sharkbitespite.bandcamp.com/album/homemade-helicopter,edmonton,11.333,0,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0239fa72a6d33058aaa4b34f27,1g4lOD6JAxZDeBOFLyV3CB,4m0c9LB8ZzE2F113LNCK8z
Every Light Goes Out,Every Light Goes Out,rock,https://everylightgoesout.bandcamp.com/album/every-light-goes-out,manitoba,11.333,0,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02241e94a547077c918e89d4a3,61GVs7dLViYxRIXHcUlrl6,3sxcEZW4OaGtobUFEp1wLp
Sykonauts,Syko EP,electronic,https://sykonauts.bandcamp.com/album/syko-ep,britishcolumbia,11.333,0,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02053ad3d7013d4bee12581d6a,2CqYLaAgyTz3wrRC83Gvdv,2wVkWKP4TKZqslBi15TXue
DenMother,Then Now Forever,electronic,https://denmother.bandcamp.com/album/then-now-forever,newbrunswick,11.267,1,2020-03-26T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02da31b129123b2abbb4c8e50b,27oVOjFjBWwO1exVyTL4xQ,6BX8n3St3YM0Gr8e0vG6v1
Drunken Angels!,The Stories We Create,rock,https://drunkenangels.bandcamp.com/album/the-stories-we-create,newfoundland,10.667,0,2020-03-26T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021688ab505f8050b278f97b0b,2Zk1A0VlTxRAi4Z7J2mb9s,4toJnU3UCoH7M24aPiwtRh
JOYFULTALK,A Separation Of Being,experimental,https://joyfultalk.bandcamp.com/album/a-separation-of-being,novascotia,10.4,14,2020-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024d97b0cee073c438323b27c5,7DT6FVs41KU6c5Kqn5islr,5obEaCVVWNwEaw3k9I0dlW
Dean Baltesson,Acoustic Ground,rock,https://deanbaltesson.bandcamp.com/album/acoustic-ground,victoria,10.0,0,2020-03-25T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025996c9ad247e533d515a87b1,5eqCI3lRI4SsgYXLwvVHH7,4ua5oQNGkDZ71E275znft3
Levi Edward,Twilight / In The Morning,folk,https://leviedward.bandcamp.com/album/twilight-in-the-morning,manitoba,10.0,0,2020-03-25T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0217431713f58d4b4f561dccd2,176DRVBJcWYBSK1zmvrvP2,4RRBlpVj9i9nsNgCYn33f7
DMAZ,Flatline,hip-hop/rap,https://dmaz.bandcamp.com/album/flatline,quebec,9.8,13,2020-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02382fea63507fd34a51eefe81,4WZtjhbHDyYyFHtR4eDEEi,1cEfc3q1HC11hhbas2F9RX
Liam Corcoran,Giving Tree and Other Songs,alternative,https://liamcorcoran1.bandcamp.com/album/giving-tree-and-other-songs,pei,9.667,5,2020-03-20T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027f9d7914ee65ba4cdd53bbc7,3NhdDLyPorN1uX6dBd2Bbq,0zlEVpTGDVqx453JLiuA3d
Jonathan Sonier,Bateau de verre d'eau,folk,https://jonathansonier.bandcamp.com/album/bateau-de-verre-deau,newbrunswick,9.333,0,2020-03-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e022829d2f5d9fc6c292337cc5a,5zgIAPswvztxza8sAkBPgo,5xbimXzWvRMVSrguUCHCnd
