artist,title,genre,rating,image,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Richard Bishop,Oneiric Formulary,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=Y9Yv67U_815luprU6uTDDASijaXJlYnq0St31qpAJWo=&f=3,68.2,26,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0250ac6fef6e39f53aeb389632,090ESXJ3E68GloDqOesbRM,36GbLKvZbVebDmu6hS6Zfa
Brendan Benson,Dear Life,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=2Sxqjr7nk0vO-gu_-xSQah_TZlp6n_cq-Emr2zx15tU=&f=3,68.133,44,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d7372c43a3c8a7bcfd88005a,5FKyqKEcM1dYKqyHdlRa1j,2Ij97fuR3unjlboQfIYs31
Mark Kozelek,"All the Best, Isaac Hayes",Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=BuPBSH2tK4Vh9GeiRXiAGByhM-OFI8zG4l-qVpXXB1I=&f=3,68.133,44,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0295be8db8f1694d1756863744,6fS8h2nlPhRbglRmpAjuq2,0qt6QSruHshcWT9QOzyfZp
Dead Ghosts,Automatic Changer,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=QeXeB9TKje5xoG9iV2xUsFWnbEN5fCjifro6xhIBuB4=&f=3,68.133,44,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020cd22b9def26e93eed815ebe,5v7w9iSJ0ims5ix9WMJwDg,3p0vuGnsU3JN0ZVBLiJwmp
Datura4,West Coast Highway Cosmic,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=Inu05zuXJxm0luxcBmWmat_M69_UI9rrJSVvWL2-yAg=&f=3,67.8,24,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027c79787da6338f17c917ba88,6ESKOF1LXXDCTcK0HoLByo,3mA3sO1zseVtFQ56oqlJYk
Field Works,Ultrasonic,Electronic,4.0,https://rovimusic.rovicorp.com/image.jpg?c=PUr3lVk-J4bLoZtT_ZL0ixyhM-OFI8zG4l-qVpXXB1I=&f=3,67.667,0,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027f110c57d35c10e6cc63dce6,5pJLTSGYfTkCnXdcz9Dfyt,0LyfQWJT6nXafLPZqxe9Of
Sophie Tassignon,Mysteries Unfold,Avant-Garde,4.0,https://rovimusic.rovicorp.com/image.jpg?c=LipWCItvIWDkDo-TeIKIO1WnbEN5fCjifro6xhIBuB4=&f=3,67.333,10,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ee0e529b4e3ef906f5333d51,6xYe0kwbUvp62Wi8H1frYp,2DUrF7J2tf7do5V6qwe2pp
Devon Williams,Tear In the Fabric,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=ClbYOZCKOIxyCXU3bRsTsRyhM-OFI8zG4l-qVpXXB1I=&f=3,67.267,13,2020-04-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a97dd2969f6e6d0baa129fa3,0GBEes8sGP3mAUH0y2Sigk,6HARLjOsKxuYvgJjy2sMKO
Shabazz Palaces,The Don of Diamond Dreams,Rap,3.5,https://rovimusic.rovicorp.com/image.jpg?c=RV3qP-nlMVk9SIPOmehJDipQg_7iAU1wjqLgK_xGXts=&f=3,66.8,49,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029af51aaa31c6e9813f8f8dd1,3SCw5AabAqeNygf0OUDVUn,6C403AR4y6PjN0xNNGh42m
Lucinda Williams,Good Souls Better Angels,Folk,3.0,https://rovimusic.rovicorp.com/image.jpg?c=T8HGHNi5b_lwiXbJc4xxZSpQg_7iAU1wjqLgK_xGXts=&f=3,65.333,60,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0208189e54529b8a52362e4612,3sF4iIrRTsRNKC6AMR6D2d,60ht0hWRy1yjUDfNsLuHuP
Houses of Heaven,Silent Places,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=epuqKkLi6xOdbhM9Yh9QRlWnbEN5fCjifro6xhIBuB4=&f=3,65.067,17,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0289c7088ebc0b77204690a497,1U7IzoOLlrQKyCraDK0tOr,0IR8xlqcSRQShBhCebrdiv
Leslie Mendelson,If You Can't Say Anything Nice,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=epuqKkLi6xOdbhM9Yh9QRipQg_7iAU1wjqLgK_xGXts=&f=3,62.4,27,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0269feca8fd29e3a1a38451bd5,6HGDbOu7tp53BBP56kpayF,5Nfp6FbYdlF3KQ2wojhW0l
Macula Dog,Breezy,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=jLwoeEVzV6kiRKLrsrpL_YAf7E_1E-2MlBBPmPAXRBU=&f=3,62.333,15,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a282fc66f1ff99fac41ea4bd,48WkJLbRNosch4fZfoUyYP,3UnInNZgdl0q6Wd24imO3T
EOB,Earth,Pop/Rock,3.0,https://rovimusic.rovicorp.com/image.jpg?c=Gjp-bjglii3NTP-HhLn1yIAf7E_1E-2MlBBPmPAXRBU=&f=3,61.6,53,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020af4290716ea10135b8e99b3,01oZaEB5otlVEliljooL82,4CX6yOoTFQeiwL5yxuFuIG
The Howling Hex,Knuckleball Express,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=9ETCyfRVFEaoY5c6mxWdnT6KsMttLlyBmmVTZ6_CLs0=&f=3,61.4,22,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024c0ff6361850c1dd3f0c9824,0kUYO1M30G5ROSst0tlfrk,4bKYclYcmlfz3GaEXZYuQw
Primo,Sogni,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=_YWT1X9uDIO8v6xn5fX7OQSijaXJlYnq0St31qpAJWo=&f=3,61.4,22,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0261fa116180e6728b92e9692a,6wjyemPyv0sq0KS5j64ltw,2vsgzWoIxqa2qjugu7a1jH
Caleb Landry Jones,The Mother Stone,Pop/Rock,3.0,https://rovimusic.rovicorp.com/image.jpg?c=TN2NTrm7XpYaiBSqiNKMDCpQg_7iAU1wjqLgK_xGXts=&f=3,60.467,24,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02dfc44f8dc038a639738c6675,0dLhoomGBGqOt40K7feMH8,736HHrEfkWjQB7zYV2aeXV
Danzig,Sings Elvis,Pop/Rock,2.5,https://rovimusic.rovicorp.com/image.jpg?c=YtybjwesZHHcrU29B3nPMASijaXJlYnq0St31qpAJWo=&f=3,59.533,61,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02dc4cd6adc2ef4df795f4e628,2lfdbxZXN3OU4Hz2ffJ36x,34c4iQ5tkaZKu6Sv28BTde
Louis Prince,Thirteen,Pop/Rock,3.5,https://rovimusic.rovicorp.com/image.jpg?c=Jlba4ldQwTVl1EvE8yaBJlWnbEN5fCjifro6xhIBuB4=&f=3,51.933,33,2020-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025f883fbc682aa4e7e45c3c39,3cfDbE4fmsak6G1uZ0bi9q,28UHHsOtyPTT2OOIMA48Ps
