artist,title,genre,rating,image,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Nav,Good Intentions,Rap,5.8,https://media.pitchfork.com/photos/5eb97752a994f4606de32763/1:1/w_320/Good%20Intentions_Nav.jpg,69.333,86,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0236f15d38804d5bdd29b9fc7a,0jk3nAmtiIfwLU4CvDDMaS,7rkW85dBwwrJtlHRDkJDAC
Austra,HiRUDiN,Electronic,7.3,https://media.pitchfork.com/photos/5eb189127a1620531f133751/1:1/w_320/HiRUDiN_Austra.jpg,69.2,52,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02cfc2352d0739633c24dd3cf8,70dAWY6KDpSriewnxFngXt,1o43SzzuLoyOxqThmp7s0g
K-LONE,Cape Cira,Electronic,8.0,https://media.pitchfork.com/photos/5ea73d99f7770300095897e3/1:1/w_320/Cape%20Cira_K-LONE.jpg,68.267,38,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0280afad53f0215740b5b20b7a,3u3jFYNTOIEyc5mqB6txFv,6VC4hWnnMMmOxpH6KsAXBU
Jess Williamson,Sorceress,,7.0,https://media.pitchfork.com/photos/5eb9bdb4caddbe3e3b13a576/1:1/w_320/Sorceress_Jess%20Williamson.jpg,68.067,32,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0200503844fbc86b527f6e133b,4PFQNELzkJ1AFwb9GsQc26,784kOgkd1H6jU4KgPMYHi9
Pure X,Pure X,Rock,7.5,https://media.pitchfork.com/photos/5eb18b18a4765fb4ce1855f5/1:1/w_320/Pure%20X_Pure%20X.jpg,68.0,40,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0254c36f03101992054edbcb74,7hX1ZmgUvA56hbbbQGKYzk,1jofoMyHK5JjLIESpm991n
Fire-Toolz,Rainbow Bridge,Experimental,7.5,https://media.pitchfork.com/photos/5eb1d90f7a1620531f133791/1:1/w_320/Rainbow%20Bridge_Fire-Toolz.jpg,67.933,28,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e12b5433ae2c66d5e6202b62,10fIvLCAysemioEBmquDfG,7nJawFIm90c4jAQFLabc1o
Car Seat Headrest,Making a Door Less Open,Rock,6.6,https://media.pitchfork.com/photos/5ea73861fbaf7a0008dcf2a5/1:1/w_320/Making%20a%20Door%20Less%20Open_Car%20Seat%20Headrest.jpg,67.8,66,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02962ca53ba96df449c656bf38,1tuoWW0TpoI5oacIjwYBdL,5PbpKlxQE0Ktl5lcNABoFf
Ric Wilson,They Call Me Disco,Rap,7.0,https://media.pitchfork.com/photos/5eb585727408de6d52fb5c71/1:1/w_320/They%20Call%20Me%20Disco%20EP_Ric%20Wilson%20&%20Terrace%20Martin.jpg,67.533,41,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024f1ca54de7d7d2287e60e9df,6p40dZWSVoWmChUHZjDRJD,34zbMuAgXxsgqnGXSxWvCR
Cafe Racer,Shadow Talk,Rock,7.4,https://media.pitchfork.com/photos/5eb5d3d57408de6d52fb5c7d/1:1/w_320/Shadow%20Talk_Cafe%20Racer.jpg,67.133,27,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02359e79565f0e9f6d21acfb7e,6WwO89y6Dxjn3q9WEZyQ2i,6IKrrPvrX4EO519S1nk2W4
Josey Rebelle,Josey in Space,Electronic,7.8,https://media.pitchfork.com/photos/5eb9c1bca994f4606de3279b/1:1/w_320/Josey%20in%20Space_Josey%20Rebelle.jpg,66.467,0,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d6b6546b74979e77bf115cbe,6v1Nilz6moJBaC5o3aXzi2,4M9tKwx3n9pIBszhn1pmkH
LAKE,Roundelay,Pop/R&B,7.5,https://media.pitchfork.com/photos/5eb1dccbce714c8d7cfce806/1:1/w_320/Roundelay_LAKE.jpg,65.667,40,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e0c42720f8defd0671918158,6rB5OTI6GOW8X1PRjGYv6l,1KvWSkU2qrxVTpkMgdMqqF
Elysia Crampton,ORCORARA 2010,Experimental,7.7,https://media.pitchfork.com/photos/5eb9723bd7b4ffbd2650957f/1:1/w_320/Orcorara%202010_Elysia%20Crampton.jpg,65.6,22,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a7c6dedf13723221894fbd37,73UrLv10QDG3qA6zwGAxU9,75v4Rn3SqXn6dmq2PFrRgN
Zsela,Ache of Victory,Folk/Country,7.4,https://media.pitchfork.com/photos/5ea84c0f8269b8000899328b/1:1/w_320/Ache%20of%20Victory%20EP_Zsela.jpg,65.067,40,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c00886d6e190818af0269c2c,55ICRQmIlXrgsAS1JfKnEI,7IYuY1VszmoEUu4o3tNgC6
White Poppy,Paradise Gardens,Experimental,7.5,https://media.pitchfork.com/photos/5ea71977c5a4ee000888a2ce/1:1/w_320/Paradise%20Gardens_White%20Poppy.jpg,63.267,28,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e34da338c76e84c8abde41fc,0wWZnaJrmpIfM2L46RIkar,65BcicEkX7VQAJ1Cl9fgxM
Beatriz Ferreyra,Huellas Entreveradas,Experimental,7.3,https://media.pitchfork.com/photos/5eb1daff3707e26f99351b51/1:1/w_320/Huellas%20Entreveradas_Beatriz%20Ferreyra%20.jpg,62.933,14,2020-05-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f97388d7b236e02e34359ad5,2l7Lj5gQcooFRfEs0ogT7v,0OPtaxS6whUvvhElm7AMLL
Fivio Foreign,800 BC,Rap,5.8,https://media.pitchfork.com/photos/5eb0763daa1f4567491c2ced/1:1/w_320/800%20B.C._Fivio%20Foreign.jpg,62.667,76,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d5d1cc65dfc6163a8bcfaf80,2F8sqO6n3U3NO8t1qVLWs0,14CHVeJGrR5xgUGQFV5BVM
Pinty,Midnight Moods,Electronic,7.0,https://media.pitchfork.com/photos/5eaaf76fbae33a8e8fd0b072/1:1/w_320/Midnight%20Moods_Pinty.jpg,62.067,37,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02276d9430182d70f9961fc31d,7zgo8oFUtR2cVQbhDZ0o6V,0TUhwf3LG9K23fyL6oftFV
Sven Wunder,Eastern Flowers,Jazz,7.4,https://media.pitchfork.com/photos/5eb18fd17a1620531f133755/1:1/w_320/Eastern%20Flowers_Sven%20Wunder.jpg,61.733,35,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02902a8e6ad12d93e5c654acb1,1Z821RvawUQZ5ExkogGKCU,2fQf2M7SkTwCv2MOEIP2Ly
Minais B,Quiet Bloom,Experimental,7.5,https://media.pitchfork.com/photos/5eab31806e7c12d69fed0ed7/1:1/w_320/Quiet%20Bloom_Minais%20B.jpg,61.267,18,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02212197976d933d35fc715641,4gsUCd8UUBHUEqh9YLuFuQ,6gckWcukg2qBdk7qdEkBwD
Trouble,Thug Luv,Rap,6.1,https://media.pitchfork.com/photos/5ea71819f7770300095897e1/1:1/w_320/Thug%20Luv_Trouble.jpg,61.067,59,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0286a11dc23e63348d7b3e55e4,3JgQJpOk0rmxql353Y3j2G,0701LAQrkY5Il5vt06uNnC
Harkin,Harkin,Rock,7.1,https://media.pitchfork.com/photos/5ea889189c8ca90009f7f3c3/1:1/w_320/Harkin_Harkin.jpg,60.867,28,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0257e4de0dc2163ec6b0e63b4a,4lFMxrBwNtHkmvcPAT5BAx,2CkIcwjceliibK7p26g6gH
Bad History Month,Old Blues,Rock,7.3,https://media.pitchfork.com/photos/5eb19240a4765fb4ce1855fb/1:1/w_320/Old%20Blues_Bad%20History%20Month.jpg,60.667,21,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029525d14b6da7e83193b5a5ba,1yNq2fSabT5GtHWYOu203i,0pZup8YQscNrnOy6Yw9pea
Primo!,Sogni,Rock,7.5,https://media.pitchfork.com/photos/5eb1df30a1bcd64187eed65a/1:1/w_320/Sogni_Primo!.jpg,60.533,26,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0261fa116180e6728b92e9692a,6wjyemPyv0sq0KS5j64ltw,2vsgzWoIxqa2qjugu7a1jH
Caleb Landry Jones,The Mother Stone,Rock,6.4,https://media.pitchfork.com/photos/5eab2f61bae33a8e8fd0b11d/1:1/w_320/The%20Mother%20Stone_Caleb%20Landry%20Jones.jpg,60.0,33,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e5e6608fdd78563ce8088066,0dLhoomGBGqOt40K7feMH8,736HHrEfkWjQB7zYV2aeXV
Dean Blunt,Roaches 2012-2019,Experimental,7.8,https://media.pitchfork.com/photos/5ea85f7997cf670008c84ab4/1:1/w_320/Roaches%202012-2019_Dean%20Blunt.jpg,59.267,49,2020-03-25T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f6d3bda295c7b94181dd24f1,4ycaKvYlGxhy1jDJXwnq83,5CFSYjc0PAiQvndFjafabk
Midwife,Forever,Rock,7.1,https://media.pitchfork.com/photos/5eb1dfb83707e26f99351b56/1:1/w_320/Forever_Midwife.jpg,57.2,33,2020-04-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02876284f936fd232493e9a3cf,2P71q1cH8pCpiBvQNnkZMJ,5vjIHa1u3TnOlDvVDR9qQa
Bishop Nehru,Nehruvia: My Disregarded Thoughts,Rap,4.4,https://media.pitchfork.com/photos/5eb9b7c4a994f4606de32794/1:1/w_320/Nehruvia-My%20Disregarded%20Thoughts_Bishop%20Nehru.jpg,54.333,53,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02019f5a565cede4c998c324a6,2noJiJ7pCVOIu1yc5BT50a,1b5fazYV5ecKkQHKTlwLG8
